resolution,scope,feature,lag,n,spearman_r,p,q_fdr
weekly,ummels,temp_max_c_max,2,161,0.12490618449554228,0.11439989849199848,0.8323930094600868
weekly,ummels,tmax_under_5°C,0,163,-0.12401580154756699,0.11474086199117521,0.8323930094600868
weekly,ummels,tmax_under_7°C,0,163,-0.12362193675987244,0.11590659368098952,0.8323930094600868
monthly,gilde,gust_over_50km/h,0,41,-0.24922622174945447,0.11609315587845459,0.8323930094600868
monthly,pooled,precip_over_15mm,2,79,0.17801780258718883,0.1165076432754398,0.8323930094600868
monthly,gilde,snow_over_0.5cm,2,39,0.255242652737376,0.11682721632298008,0.8323930094600868
monthly,gilde,rain_over_0.5mm,2,39,0.2548215723228883,0.11745287704817432,0.8323930094600868
monthly,gilde,precip_mm_sum,2,39,0.25445344129554653,0.11800192582367217,0.8323930094600868
monthly,pooled,precip_over_5mm,2,79,0.17714430517885527,0.11834073995879782,0.8323930094600868
monthly,pooled,precip_mm_sum,2,79,0.17711781888997083,0.11839666770966764,0.8323930094600868
monthly,ummels,tmean_under_8°C,2,40,0.25066656801459497,0.11873430821687446,0.8323930094600868
monthly,pooled,tmax_over_28°C,2,79,-0.17653891727088145,0.11962414360601031,0.8323930094600868
weekly,ummels,tmean_under_2°C,0,163,-0.12158044377744519,0.12209723140255148,0.8323930094600868
monthly,ummels,tmin_under_1°C,2,40,0.24826847873495245,0.12242022620492608,0.8323930094600868
monthly,ummels,tmean_under_4°C,2,40,0.24805009590379112,0.12276010091984904,0.8323930094600868
weekly,pooled,tmin_under_2°C,2,331,0.0845974273586022,0.12452672640008462,0.8323930094600868
weekly,pooled,tmax_under_7°C,2,331,0.08444547788769373,0.12520721447855143,0.8323930094600868
monthly,ummels,snow_over_0.5cm,0,42,0.24016560529148548,0.12552244028933823,0.8323930094600868
monthly,pooled,snow_over_0.5cm,0,83,0.16940516558860555,0.12576013190984206,0.8323930094600868
weekly,ummels,gust_over_70km/h,1,162,-0.12055258239958404,0.12649250294897071,0.8323930094600868
monthly,gilde,tmax_under_5°C,2,39,0.24868834010337013,0.1268540723990782,0.8323930094600868
monthly,pooled,tmean_under_6°C,1,81,0.1706877998917892,0.1276293059146927,0.8323930094600868
weekly,pooled,wind_max_kmh_mean,1,333,-0.08357154817453595,0.1280174372028872,0.8323930094600868
monthly,pooled,wind_over_25km/h,1,81,-0.17025818607566146,0.12860507502993931,0.8323930094600868
weekly,pooled,gust_over_40km/h,0,335,-0.08307980480060607,0.12912762924191812,0.8323930094600868
weekly,pooled,tmean_under_8°C,2,331,0.08354880976531542,0.12928174806328321,0.8323930094600868
weekly,ummels,snow_over_2cm,0,163,-0.11806048887412617,0.13336857678129874,0.8468178793206435
monthly,gilde,rain_over_3mm,2,39,0.24458392888448488,0.13345187532276903,0.8468178793206435
monthly,ummels,tmean_under_6°C,0,42,0.23516589891325004,0.1338295286119818,0.8468178793206435
weekly,pooled,gust_over_40km/h,1,333,-0.08167713510797556,0.13692256267552844,0.861438522890039
monthly,pooled,gust_over_50km/h,1,81,-0.1660444417299014,0.13847922891635017,0.8662819945278496
monthly,ummels,tmin_under_2°C,2,40,0.2376940397420453,0.1397025381724395,0.8689971442251746
monthly,gilde,gust_over_80km/h,2,39,-0.2389771071938469,0.1428716811730335,0.8748065108673045
weekly,pooled,precip_over_1mm,2,331,0.08058231207798608,0.14349461418344686,0.8748065108673045
weekly,pooled,wind_max_kmh_max,1,333,-0.08020910337719901,0.14414472293735964,0.8748065108673045
weekly,pooled,tmin_under_-3°C,0,335,-0.07965844335293631,0.14571021791085342,0.8748065108673045
weekly,ummels,tmean_under_6°C,0,163,-0.11443198766804845,0.14580533350213806,0.8748065108673045
weekly,pooled,rain_mm_sum,2,331,0.07999644609515628,0.14643759496340503,0.8748065108673045
weekly,gilde,tmin_under_-2°C,0,172,-0.11095169021527264,0.14734180119225873,0.8748065108673045
weekly,gilde,precip_over_1mm,2,170,0.11151826621414823,0.1476694566463323,0.8748065108673045
weekly,gilde,temp_mean_c_mean,0,172,0.11069459757449814,0.14828758872304187,0.8748065108673045
monthly,ummels,tmean_under_4°C,0,42,0.22596431668551153,0.15017638634972097,0.8748065108673045
monthly,pooled,rain_over_15mm,1,81,0.16129386056808848,0.15028663436505188,0.8748065108673045
monthly,pooled,snow_over_0.1cm,2,79,0.16229464001533403,0.15300221800017674,0.8748065108673045
monthly,gilde,tmean_under_0°C,0,41,0.22581675599848963,0.15571557557816182,0.8748065108673045
