company,res,season,lag,split,n,r,p,impact_pct,config,factors
gilde,monthly,True,1,33,40,-0.12149157343684434,0.4551916937267655,-19.94452848266691,heat=26,{'heat': 26}
gilde,monthly,True,1,33,40,-0.17497222682579827,0.28019201361724977,-19.94452848266691,heat=28,{'heat': 28}
gilde,monthly,True,1,33,40,-0.14143293060048617,0.38401439237973306,-18.028720313396818,heat=30,{'heat': 30}
gilde,monthly,True,1,33,40,-0.09553804857894946,0.557593734836741,14.335393832123632,heat=32,{'heat': 32}
gilde,monthly,True,1,33,40,-0.2069159779410117,0.2001688073562951,-18.979079328736283,wind=25,{'wind': 25}
gilde,monthly,True,1,33,40,-0.1884224411384535,0.24427603049099397,-5.352087736386091,wind=30,{'wind': 30}
gilde,monthly,True,1,33,40,-0.15940178007814348,0.3258645649725955,-9.16033717148117,wind=35,{'wind': 35}
gilde,monthly,True,1,33,40,0.1466941467405048,0.36639032764802937,25.84775865076614,wind=40,{'wind': 40}
gilde,monthly,True,1,33,40,-0.07509270651922599,0.6451436025504637,-7.019816793364198,rain=1,{'rain': 1}
gilde,monthly,True,1,33,40,0.0034723854628602793,0.983034311063845,0.6194938600125655,rain=2,{'rain': 2}
gilde,monthly,True,1,33,40,0.020171694152940234,0.9016763505138843,-10.425976284955796,rain=3,{'rain': 3}
gilde,monthly,True,1,33,40,0.08072845073322618,0.6204653902781603,10.750812626311944,rain=5,{'rain': 5}
gilde,monthly,True,1,33,40,0.04555491381313465,0.7801501636263246,13.39179273867539,rain=8,{'rain': 8}
gilde,monthly,True,1,33,40,0.0032761402641477404,0.983993016076971,-9.16033717148117,cold+frost,"{'frost': 0, 'cold': 5}"
gilde,monthly,True,1,33,40,-0.17354171911940988,0.2842044707861077,-18.389843185986365,all-bad,"{'rain': 1, 'frost': 0, 'heat': 28, 'wind': 40}"
gilde,monthly,True,1,33,40,0.05974929037913986,0.7141916915123976,-4.229783106327211,frost+wind,"{'frost': 0, 'wind': 40}"
gilde,monthly,True,2,33,39,-0.2060071347872332,0.20831787674302527,29.743903399760853,frost=-3,{'frost': -3}
gilde,monthly,True,2,33,39,-0.11237396730879552,0.4958051351877348,29.489981416264865,frost=-2,{'frost': -2}
gilde,monthly,True,2,33,39,0.13360157535453968,0.41745732990132284,7.549798840214805,frost=-1,{'frost': -1}
gilde,monthly,True,2,33,39,0.08527015162424964,0.6057649626058109,24.913385811922485,frost=0,{'frost': 0}
gilde,monthly,True,2,33,39,0.12174079347586325,0.46033946581949525,0.604198605224604,frost=1,{'frost': 1}
gilde,monthly,True,2,33,39,0.1541257990608312,0.3488545081692778,0.604198605224604,frost=2,{'frost': 2}
gilde,monthly,True,2,33,39,0.25316927316267124,0.11993231451002713,-3.3774930975416173,frost=3,{'frost': 3}
gilde,monthly,True,2,33,39,0.03387088136196507,0.8378063895079115,11.8899458304361,cold=2,{'cold': 2}
gilde,monthly,True,2,33,39,0.1548979951140546,0.34641564268237474,27.142172273060705,cold=4,{'cold': 4}
gilde,monthly,True,2,33,39,0.20454177620866887,0.21164337018066506,29.489981416264865,cold=6,{'cold': 6}
gilde,monthly,True,2,33,39,0.0896349230808009,0.5873695164878429,-3.3774930975416173,cold=8,{'cold': 8}
gilde,monthly,True,2,33,39,-0.22935759320534002,0.1601581173432341,-14.30641999016854,cold=10,{'cold': 10}
gilde,monthly,True,2,33,39,-0.17181935552286304,0.29560544358257085,-0.600569969843423,heat=24,{'heat': 24}
gilde,monthly,True,2,33,39,-0.16896299528416614,0.30382780940453513,1.1729797778964546,heat=26,{'heat': 26}
gilde,monthly,True,2,33,39,-0.2440267878814777,0.13436673651626144,1.1729797778964546,heat=28,{'heat': 28}
gilde,monthly,True,2,33,39,-0.1038911663953233,0.5290885937892705,2.4148127858756085,heat=30,{'heat': 30}
gilde,monthly,True,2,33,39,0.09908545185806965,0.5484157763808276,15.415003388338455,heat=32,{'heat': 32}
gilde,monthly,True,2,33,39,-0.11451425819035548,0.4875802004614165,27.142172273060705,wind=25,{'wind': 25}
gilde,monthly,True,2,33,39,-0.18771557516715914,0.2524781530182251,1.7842655105786864,wind=30,{'wind': 30}
gilde,monthly,True,2,33,39,-0.2020076176408329,0.21748086941536846,12.70636779526062,wind=35,{'wind': 35}
gilde,monthly,True,2,33,39,-0.04045650867555942,0.806819811013348,2.4148127858756085,wind=40,{'wind': 40}
gilde,monthly,True,2,33,39,0.1735123316592457,0.29080010218772373,9.56199276574794,rain=1,{'rain': 1}
gilde,monthly,True,2,33,39,0.18805065701658955,0.2516169170940016,2.4148127858756085,rain=2,{'rain': 2}
gilde,monthly,True,2,33,39,0.15671188820909876,0.3407278097237013,-7.019816793364198,rain=3,{'rain': 3}
gilde,monthly,True,2,33,39,0.1286271611086511,0.43516053591869464,24.93987305972678,rain=5,{'rain': 5}
gilde,monthly,True,2,33,39,0.009826769356552858,0.9526551187157908,0.6194938600125655,rain=8,{'rain': 8}
gilde,monthly,True,2,33,39,0.15734859890752034,0.3387449531871892,29.489981416264865,cold+frost,"{'frost': 0, 'cold': 5}"
gilde,monthly,True,2,33,39,0.19474406788131202,0.23482430963584486,14.335393832123632,all-bad,"{'rain': 1, 'frost': 0, 'heat': 28, 'wind': 40}"
gilde,monthly,True,2,33,39,0.03742178908307627,0.821065627460912,-1.1593804793251006,frost+wind,"{'frost': 0, 'wind': 40}"
pooled,weekly,True,0,33,356,-0.0577480415693417,0.2771858029208636,-28.21494778380309,frost=-3,{'frost': -3}
pooled,weekly,True,0,33,356,-0.09753124004146199,0.06604350080963199,-22.255807901612854,frost=-2,{'frost': -2}
pooled,weekly,True,0,33,356,-0.132447739847844,0.012375268030330134,-24.887452426170032,frost=-1,{'frost': -1}
pooled,weekly,True,0,33,356,-0.17510112574688183,0.0009071280890813683,-22.67153499186828,frost=0,{'frost': 0}
pooled,weekly,True,0,33,356,-0.17627758594281565,0.0008362846724636671,-17.258898279683333,frost=1,{'frost': 1}
pooled,weekly,True,0,33,356,-0.1929239501190818,0.0002505103607672133,-32.170474172402244,frost=2,{'frost': 2}
